TEMPERATURA;HUMEDAD;TIRANTE;TIRANTE_IDEAL;CAUDAL_REAL
33,8;10;2,55;2,225689265;23,8643576
33,5;7,5;2,31;2,225689265;23,8643576
33;6,5;2,46;2,225689265;23,8643576
33,1;7,3;2,31;2,225689265;23,8643576
33,1;9,7;2,31;2,225689265;23,8643576
32,6;8;2,32;2,225689265;23,8643576
32,8;9,2;2,33;2,225689265;23,8643576
32,7;5,8;2,37;2,225689265;23,8643576
32,6;5,7;2,41;2,225689265;23,8643576
32,5;7,3;2,3;2,225689265;23,8643576
32,4;9;2,31;2,225689265;23,8643576
31,8;7,2;2,29;2,225689265;23,8643576
31,3;6,9;2,25;2,225689265;23,8643576
31,4;7,2;2,22;2,225689265;23,8643576
31,4;7,4;2,25;2,225689265;23,8643576
31,3;8;2,22;2,225689265;23,8643576
31,2;7,2;2,16;2,225689265;23,8643576
31;6,7;2,43;2,225689265;23,8643576
31;6,7;2,27;2,225689265;23,8643576
31,1;9,6;2,2;2,225689265;23,8643576
31,2;12,8;2,1;2,225689265;23,8643576
31,2;12,8;2,18;2,225689265;23,8643576
31,2;11,1;2,33;2,225689265;23,8643576
31,3;9;2,35;2,225689265;23,8643576
31,3;10,5;2,23;2,225689265;23,8643576
31,3;10,5;2,21;2,225689265;23,8643576
31,1;10,2;2,3;2,225689265;23,8643576
30,8;8,9;2,27;2,225689265;23,8643576
30,5;7,8;2,16;2,225689265;23,8643576
30,4;8,2;2,2;2,225689265;23,8643576
30,4;8,3;2,34;2,225689265;23,8643576
30,5;10;2,25;2,225689265;23,8643576
30,5;9,9;2,25;2,225689265;23,8643576
30,5;10;2,2;2,225689265;23,8643576
30,5;11,7;2,26;2,225689265;23,8643576
30,5;10,6;2,35;2,225689265;23,8643576
30,5;9,1;2,26;2,225689265;23,8643576
30,5;10;2,19;2,225689265;23,8643576
30,6;12,2;2,26;2,225689265;23,8643576
30,5;10;2,2;2,225689265;23,8643576
30,5;11,5;2,22;2,225689265;23,8643576
30,5;10,9;2,23;2,225689265;23,8643576
30,5;12,7;2,18;2,225689265;23,8643576
30,4;12,5;2,2;2,225689265;23,8643576
30,4;10;2,3;2,225689265;23,8643576
30,4;13,8;2,18;2,225689265;23,8643576
30,4;11,9;2,23;2,225689265;23,8643576
30,4;12,5;2,25;2,225689265;23,8643576
30,3;9,9;2,21;2,225689265;23,8643576
30,1;8,7;2,25;2,225689265;23,8643576
30,2;9,9;2,16;2,225689265;23,8643576
30,3;10,5;2,14;2,225689265;23,8643576
30,4;13,2;2,34;2,225689265;23,8643576
30,4;11;2,26;2,225689265;23,8643576
30,4;10,8;2,24;2,225689265;23,8643576
30,5;10,1;2,15;2,225689265;23,8643576
30,6;11,4;2,26;2,225689265;23,8643576
30,6;11;2,2;2,225689265;23,8643576
30,6;10,1;2,2;2,225689265;23,8643576
30,3;7,7;2,15;2,225689265;23,8643576
30;6,2;2,18;2,225689265;23,8643576
30,1;6,7;2,24;2,225689265;23,8643576
30,2;7,7;2,29;2,225689265;23,8643576
30,3;9;2,24;2,225689265;23,8643576
30,3;9,6;2,12;2,225689265;23,8643576
30,3;9,8;2,21;2,225689265;23,8643576
30,3;10,5;2,18;2,225689265;23,8643576
30,4;11,5;2,3;2,225689265;23,8643576
30,5;11,5;2,28;2,225689265;23,8643576
30,5;10,1;2,22;2,225689265;23,8643576
30,6;12,2;2,27;2,225689265;23,8643576
30,6;13,3;2,53;2,225689265;23,8643576
30,7;12,6;2,41;2,225689265;23,8643576
30,7;12,2;2,14;2,225689265;23,8643576
30,8;13,3;2,23;2,225689265;23,8643576
30,9;16;2,15;2,225689265;23,8643576
31;17,3;2,11;2,225689265;23,8643576
31,1;14,6;2,11;2,225689265;23,8643576
31,1;17,4;2,2;2,225689265;23,8643576
31,2;12,3;2,28;2,225689265;23,8643576
31,2;11,6;2,21;2,225689265;23,8643576
31,3;12,6;2,29;2,225689265;23,8643576
31,3;11,9;2,33;2,225689265;23,8643576
31,4;11,4;2,22;2,225689265;23,8643576
31,4;10,6;2,22;2,225689265;23,8643576
31,4;11,8;2,15;2,225689265;23,8643576
31,3;12,2;2,26;2,225689265;23,8643576
31,3;11,9;2,3;2,225689265;23,8643576
31,1;10,4;2,29;2,225689265;23,8643576
31;9,8;2,26;2,225689265;23,8643576
30,9;10,2;2,19;2,225689265;23,8643576
30,9;11,1;2,22;2,225689265;23,8643576
30,7;9,1;2,25;2,225689265;23,8643576
30,3;8;2,24;2,225689265;23,8643576
30,4;8,5;2,29;2,225689265;23,8643576
30,5;9,7;2,25;2,225689265;23,8643576
30,6;10,1;2,24;2,225689265;23,8643576
30,7;11;2,26;2,225689265;23,8643576
30,7;11,6;2,29;2,225689265;23,8643576
30,7;11,5;2,39;2,225689265;23,8643576
32,4;11,8;4,18;4,118511168;56,99530726
32,4;11,3;3,86;4,118511168;56,99530726
32,5;10,8;3,91;4,118511168;56,99530726
32,5;11,2;4,05;4,118511168;56,99530726
32,5;9,7;3,93;4,118511168;56,99530726
32,5;10,1;3,82;4,118511168;56,99530726
32,5;10,1;3,89;4,118511168;56,99530726
32,1;8,6;3,73;4,118511168;56,99530726
32;9,1;3,9;4,118511168;56,99530726
32,1;9,9;4;4,118511168;56,99530726
32,2;10,4;3,95;4,118511168;56,99530726
32,2;10,3;3,97;4,118511168;56,99530726
32,2;10,9;3,97;4,118511168;56,99530726
32,3;9,2;4,02;4,118511168;56,99530726
32,3;10,2;3,81;4,118511168;56,99530726
32,3;9,4;4,01;4,118511168;56,99530726
32,3;9,8;3,97;4,118511168;56,99530726
32,1;10,6;3,93;4,118511168;56,99530726
32,1;10,4;3,92;4,118511168;56,99530726
31,7;8,5;3,93;4,118511168;56,99530726
31,7;10,1;4,1;4,118511168;56,99530726
31,6;8,4;3,83;4,118511168;56,99530726
31,5;8,1;3,97;4,118511168;56,99530726
31,5;9,4;3,99;4,118511168;56,99530726
31,5;9,9;4,05;4,118511168;56,99530726
31,5;8,9;3,9;4,118511168;56,99530726
31,5;8,8;4,01;4,118511168;56,99530726
31,6;10,5;3,84;4,118511168;56,99530726
31,7;9,8;4,02;4,118511168;56,99530726
31,6;11,9;3,76;4,118511168;56,99530726
31,7;10,7;3,82;4,118511168;56,99530726
31,6;10;3,92;4,118511168;56,99530726
31,6;14,5;3,99;4,118511168;56,99530726
31,6;10,6;3,92;4,118511168;56,99530726
31,6;10,6;3,87;4,118511168;56,99530726
31,6;10,6;3,86;4,118511168;56,99530726
31,6;11,3;4;4,118511168;56,99530726
31,5;10,4;3,93;4,118511168;56,99530726
31,3;8,9;3,95;4,118511168;56,99530726
31,3;10,2;3,77;4,118511168;56,99530726
31,3;9,7;3,86;4,118511168;56,99530726
31,4;10,5;4,11;4,118511168;56,99530726
31,4;12,1;3,86;4,118511168;56,99530726
31,4;10,7;3,98;4,118511168;56,99530726
31,4;11,8;4,07;4,118511168;56,99530726
31,4;10,6;3,88;4,118511168;56,99530726
31,3;9,7;3,99;4,118511168;56,99530726
31,3;9,6;4,05;4,118511168;56,99530726
31,3;10,5;3,95;4,118511168;56,99530726
31,4;10,7;4,16;4,118511168;56,99530726
31,3;10,5;3,92;4,118511168;56,99530726
31,3;9,1;4,07;4,118511168;56,99530726
31,3;10,5;4,01;4,118511168;56,99530726
31,3;10,5;4,03;4,118511168;56,99530726
31,3;10,5;3,88;4,118511168;56,99530726
31,3;11,4;3,95;4,118511168;56,99530726
31,3;10,5;3,95;4,118511168;56,99530726
31,2;10,2;3,94;4,118511168;56,99530726
31,2;10,5;3,88;4,118511168;56,99530726
31,2;10,8;3,92;4,118511168;56,99530726
31,3;10,8;3,84;4,118511168;56,99530726
31,2;10,2;4,06;4,118511168;56,99530726
31,2;9,7;3,93;4,118511168;56,99530726
31,2;10,2;4,03;4,118511168;56,99530726
31,1;10,4;4,06;4,118511168;56,99530726
31;9,4;4,05;4,118511168;56,99530726
31;10,3;4,08;4,118511168;56,99530726
31,1;11,5;4,16;4,118511168;56,99530726
31,1;11,8;4;4,118511168;56,99530726
31,2;12,8;4;4,118511168;56,99530726
31,2;14,9;4,14;4,118511168;56,99530726
31,3;11,4;3,98;4,118511168;56,99530726
31,3;11,1;4,07;4,118511168;56,99530726
31,3;9,8;4,03;4,118511168;56,99530726
31,3;10,5;4,09;4,118511168;56,99530726
31,1;9,7;4,02;4,118511168;56,99530726
31,1;9,5;3,93;4,118511168;56,99530726
31;8,8;3,78;4,118511168;56,99530726
31,1;10,5;4,07;4,118511168;56,99530726
31,1;10,9;4,08;4,118511168;56,99530726
31,1;10,4;4;4,118511168;56,99530726
31,1;14;3,95;4,118511168;56,99530726
31,1;10,4;4,02;4,118511168;56,99530726
31,1;10,4;4,03;4,118511168;56,99530726
31,1;11,5;3,94;4,118511168;56,99530726
31,1;11,2;3,97;4,118511168;56,99530726
31,1;10,4;4,15;4,118511168;56,99530726
31,1;10,8;4,12;4,118511168;56,99530726
31,1;11,9;4,17;4,118511168;56,99530726
31,3;11,1;4,21;4,118511168;56,99530726
31,4;10,6;4,24;4,118511168;56,99530726
31,4;10,1;4,25;4,118511168;56,99530726
31,5;11,5;4,19;4,118511168;56,99530726
31,5;12,6;4,23;4,118511168;56,99530726
31,6;11,6;4,09;4,118511168;56,99530726
31,6;13,3;4,03;4,118511168;56,99530726
31,6;12;3,91;4,118511168;56,99530726
31,7;11,4;4,06;4,118511168;56,99530726
31,6;10,6;4,05;4,118511168;56,99530726
31,7;12,8;4,14;4,118511168;56,99530726
32,1;10,3;4,63;5,472533591;83,46384342
32,1;11,2;4,35;5,472533591;83,46384342
32,1;9,1;4,5;5,472533591;83,46384342
32;10,8;4,38;5,472533591;83,46384342
32;9,5;4,4;5,472533591;83,46384342
32,1;9,5;4,41;5,472533591;83,46384342
32;9,6;4,32;5,472533591;83,46384342
32;8,2;4,46;5,472533591;83,46384342
32;8,5;4,43;5,472533591;83,46384342
32;9,9;4,49;5,472533591;83,46384342
32;10,9;4,42;5,472533591;83,46384342
32;10,8;4,34;5,472533591;83,46384342
32;13,3;4,28;5,472533591;83,46384342
32;11,5;4,49;5,472533591;83,46384342
32;10,8;4,52;5,472533591;83,46384342
32;15,6;4,42;5,472533591;83,46384342
32,1;11,3;4,14;5,472533591;83,46384342
32,1;11;4,41;5,472533591;83,46384342
32;8,8;4,36;5,472533591;83,46384342
32;9,7;4,52;5,472533591;83,46384342
32;12,7;4,41;5,472533591;83,46384342
32;10;3,91;5,472533591;83,46384342
32;9,6;4,44;5,472533591;83,46384342
32,1;10,4;4,58;5,472533591;83,46384342
32,2;10,1;4,44;5,472533591;83,46384342
32,2;11,9;4,47;5,472533591;83,46384342
32,2;12,8;4,56;5,472533591;83,46384342
32,2;10,2;4,08;5,472533591;83,46384342
32,2;11;4,11;5,472533591;83,46384342
32;8,1;4,51;5,472533591;83,46384342
32;10,8;4,43;5,472533591;83,46384342
32;11,9;4,52;5,472533591;83,46384342
32;15;4,4;5,472533591;83,46384342
32;11,2;4,36;5,472533591;83,46384342
32;11,4;4,45;5,472533591;83,46384342
32;14,5;4,36;5,472533591;83,46384342
32;10,9;4,6;5,472533591;83,46384342
32;10,7;4,39;5,472533591;83,46384342
32,2;10,9;4,37;5,472533591;83,46384342
32,1;9,7;4,47;5,472533591;83,46384342
32,1;14,3;4,51;5,472533591;83,46384342
32,1;10,9;4,45;5,472533591;83,46384342
32,1;10,9;4,49;5,472533591;83,46384342
32,4;10,1;4,48;5,472533591;83,46384342
32,1;8,4;4,49;5,472533591;83,46384342
31,8;8;4,52;5,472533591;83,46384342
32;9,9;4,43;5,472533591;83,46384342
32;10,5;4,46;5,472533591;83,46384342
32;10,9;4,55;5,472533591;83,46384342
32,1;10,1;4,43;5,472533591;83,46384342
32,2;9,5;4,45;5,472533591;83,46384342
32,1;9,9;4,38;5,472533591;83,46384342
32;10,2;4,44;5,472533591;83,46384342
32,1;10,1;4,42;5,472533591;83,46384342
32,1;13,5;4,33;5,472533591;83,46384342
32,1;13;4,39;5,472533591;83,46384342
32,1;12,2;4,3;5,472533591;83,46384342
32,1;10,9;4,4;5,472533591;83,46384342
